time,disk_rb
Sat Aug 12 2023 13:03:00 GMT+0900 (한국 표준시),1332.4666666666667
Sat Aug 12 2023 13:04:00 GMT+0900 (한국 표준시),3348.8999999999996
Sat Aug 12 2023 13:05:00 GMT+0900 (한국 표준시),1003.1833333333333
Sat Aug 12 2023 13:06:00 GMT+0900 (한국 표준시),872.45
Sat Aug 12 2023 13:07:00 GMT+0900 (한국 표준시),599.3833333333333
Sat Aug 12 2023 13:08:00 GMT+0900 (한국 표준시),576.1666666666666
Sat Aug 12 2023 13:09:00 GMT+0900 (한국 표준시),12156.95
Sat Aug 12 2023 13:10:00 GMT+0900 (한국 표준시),102432.76666666666
Sat Aug 12 2023 13:11:00 GMT+0900 (한국 표준시),277995.7833333333
Sat Aug 12 2023 13:12:00 GMT+0900 (한국 표준시),360129.25
Sat Aug 12 2023 13:13:00 GMT+0900 (한국 표준시),458661.86666666664
Sat Aug 12 2023 13:14:00 GMT+0900 (한국 표준시),767815.4166666667
Sat Aug 12 2023 13:15:00 GMT+0900 (한국 표준시),1783177.3166666667
Sat Aug 12 2023 13:16:00 GMT+0900 (한국 표준시),3270701.6666666665
Sat Aug 12 2023 13:17:00 GMT+0900 (한국 표준시),3426544.3
Sat Aug 12 2023 13:18:00 GMT+0900 (한국 표준시),3482174.566666667
Sat Aug 12 2023 13:19:00 GMT+0900 (한국 표준시),4159975.216666667
Sat Aug 12 2023 13:20:00 GMT+0900 (한국 표준시),4361729.383333334
Sat Aug 12 2023 13:21:00 GMT+0900 (한국 표준시),4345143.3
Sat Aug 12 2023 13:22:00 GMT+0900 (한국 표준시),4759377.95
Sat Aug 12 2023 13:23:00 GMT+0900 (한국 표준시),5949084.266666667