time,sent_bytes
Sat Aug 12 2023 13:03:00 GMT+0900 (한국 표준시),1955835.6166666667
Sat Aug 12 2023 13:04:00 GMT+0900 (한국 표준시),7778841.65
Sat Aug 12 2023 13:05:00 GMT+0900 (한국 표준시),10905300.283333333
Sat Aug 12 2023 13:06:00 GMT+0900 (한국 표준시),10925098.466666667
Sat Aug 12 2023 13:07:00 GMT+0900 (한국 표준시),10899353.533333333
Sat Aug 12 2023 13:08:00 GMT+0900 (한국 표준시),10978373.583333334
Sat Aug 12 2023 13:09:00 GMT+0900 (한국 표준시),11110131.066666666
Sat Aug 12 2023 13:10:00 GMT+0900 (한국 표준시),11022648.633333333
Sat Aug 12 2023 13:11:00 GMT+0900 (한국 표준시),11223171.25
Sat Aug 12 2023 13:12:00 GMT+0900 (한국 표준시),11290718.416666666
Sat Aug 12 2023 13:13:00 GMT+0900 (한국 표준시),11330138.783333333
Sat Aug 12 2023 13:14:00 GMT+0900 (한국 표준시),11290055.566666666
Sat Aug 12 2023 13:15:00 GMT+0900 (한국 표준시),11314650.3
Sat Aug 12 2023 13:16:00 GMT+0900 (한국 표준시),11300278.316666666
Sat Aug 12 2023 13:17:00 GMT+0900 (한국 표준시),11272420.283333333
Sat Aug 12 2023 13:18:00 GMT+0900 (한국 표준시),11273608.583333334
Sat Aug 12 2023 13:19:00 GMT+0900 (한국 표준시),11255305.166666666
Sat Aug 12 2023 13:20:00 GMT+0900 (한국 표준시),11248919.8
Sat Aug 12 2023 13:21:00 GMT+0900 (한국 표준시),11329528.916666666
Sat Aug 12 2023 13:22:00 GMT+0900 (한국 표준시),9313952.15
Sat Aug 12 2023 13:23:00 GMT+0900 (한국 표준시),3378995.3833333333