time,disk_write_bytes
Fri Aug 11 2023 16:23:00 GMT+0900 (한국 표준시),63526.4
Fri Aug 11 2023 16:24:00 GMT+0900 (한국 표준시),2659572.4166666665
Fri Aug 11 2023 16:25:00 GMT+0900 (한국 표준시),9817288.433333334
Fri Aug 11 2023 16:26:00 GMT+0900 (한국 표준시),12373186.833333334
Fri Aug 11 2023 16:27:00 GMT+0900 (한국 표준시),11746856.633333333
Fri Aug 11 2023 16:28:00 GMT+0900 (한국 표준시),11834077.266666666
Fri Aug 11 2023 16:29:00 GMT+0900 (한국 표준시),11975724.433333332
Fri Aug 11 2023 16:30:00 GMT+0900 (한국 표준시),11544271.683333332
Fri Aug 11 2023 16:31:00 GMT+0900 (한국 표준시),10460939.75
Fri Aug 11 2023 16:32:00 GMT+0900 (한국 표준시),9399470.133333333
Fri Aug 11 2023 16:33:00 GMT+0900 (한국 표준시),11791719.516666668
Fri Aug 11 2023 16:34:00 GMT+0900 (한국 표준시),13442096.649999999
Fri Aug 11 2023 16:35:00 GMT+0900 (한국 표준시),10380555.766666668
Fri Aug 11 2023 16:36:00 GMT+0900 (한국 표준시),13661158.933333334
Fri Aug 11 2023 16:37:00 GMT+0900 (한국 표준시),11182375.200000001
Fri Aug 11 2023 16:38:00 GMT+0900 (한국 표준시),11390189.066666666
Fri Aug 11 2023 16:39:00 GMT+0900 (한국 표준시),11490583.65
Fri Aug 11 2023 16:40:00 GMT+0900 (한국 표준시),11048923.616666667
Fri Aug 11 2023 16:41:00 GMT+0900 (한국 표준시),11272518.95
Fri Aug 11 2023 16:42:00 GMT+0900 (한국 표준시),12170211.583333332
Fri Aug 11 2023 16:43:00 GMT+0900 (한국 표준시),10639882.033333333
Fri Aug 11 2023 16:44:00 GMT+0900 (한국 표준시),11423445.466666667
Fri Aug 11 2023 16:45:00 GMT+0900 (한국 표준시),10783118.466666667
Fri Aug 11 2023 16:46:00 GMT+0900 (한국 표준시),10848423.933333334
Fri Aug 11 2023 16:47:00 GMT+0900 (한국 표준시),13241309.85
Fri Aug 11 2023 16:48:00 GMT+0900 (한국 표준시),11046813.016666668
Fri Aug 11 2023 16:49:00 GMT+0900 (한국 표준시),9799901.25
Fri Aug 11 2023 16:50:00 GMT+0900 (한국 표준시),10845062.116666667
Fri Aug 11 2023 16:51:00 GMT+0900 (한국 표준시),12766597.783333333
Fri Aug 11 2023 16:52:00 GMT+0900 (한국 표준시),11989077.716666667
Fri Aug 11 2023 16:53:00 GMT+0900 (한국 표준시),9703734.100000001
Fri Aug 11 2023 16:54:00 GMT+0900 (한국 표준시),11415054.083333332
Fri Aug 11 2023 16:55:00 GMT+0900 (한국 표준시),10602741.033333333
Fri Aug 11 2023 16:56:00 GMT+0900 (한국 표준시),11040325.2
Fri Aug 11 2023 16:57:00 GMT+0900 (한국 표준시),11099118.85
Fri Aug 11 2023 16:58:00 GMT+0900 (한국 표준시),12419504.316666668
Fri Aug 11 2023 16:59:00 GMT+0900 (한국 표준시),9838264.666666666
Fri Aug 11 2023 17:00:00 GMT+0900 (한국 표준시),6535224.716666667